id,name,age,email,country,salary,department,email_valid,missing_required
60,Frank,36.0,frank@hotmail.com,India,18000.0,IT,True,False
61,Charlie,54.0,,Usa,41000.0,IT,False,True
62,Rose,47.0,,Usa,45648.0,IT,False,True
63,Charlie,29.0,charlie@yahoo.com,Germany,22000.0,HR,True,False
64,Quinn,36.0,,India,31000.0,IT,False,True
65,Hank,36.0,,Usa,45648.0,IT,False,True
66,David,36.0,,Canada,18000.0,Sales,False,True
67,Grace,36.0,,Germany,45648.0,HR,False,True
68,Tina,36.0,,India,17000.0,IT,False,True
69,Frank,36.0,,Germany,32000.0,Sales,False,True
70,David,36.0,david@gmail.com,Canada,24000.0,HR,True,False
71,Quinn,36.0,,Uk,76322.0,Sales,False,True
72,Noah,53.0,,Usa,98156.0,Sales,False,True
73,David,36.0,,Germany,87328.0,IT,False,True
74,Ivy,36.0,,India,45648.0,Sales,False,True
75,Olivia,36.0,,Germany,45648.0,HR,False,True
76,Sam,36.0,,Canada,67753.0,Sales,False,True
77,Alice,36.0,,Canada,45648.0,HR,False,True
78,Jack,36.0,jack@gmail.com,France,45648.0,IT,True,False
79,Liam,36.0,liam@yahoo.com,U.S.A,83207.0,IT,True,False
80,Rose,51.0,,Usa,65000.0,IT,False,True
81,Olivia,36.0,olivia@outlook.com,Canada,62928.0,IT,True,False
82,Quinn,56.0,,Germany,45648.0,HR,False,True
83,Alice,36.0,,Germany,32000.0,HR,False,True
84,Liam,52.0,,India,45400.0,IT,False,True
85,Quinn,36.0,quinn@gmail.com,Germany,53210.0,IT,True,False
86,Mia,36.0,,Germany,47978.0,IT,False,True
87,Olivia,27.0,,France,28000.0,IT,False,True
88,Frank,21.0,,U.S.A,45648.0,IT,False,True
89,Olivia,36.0,,Uk,38000.0,IT,False,True
90,Liam,36.0,,Germany,45648.0,HR,False,True
91,Mia,36.0,,Canada,75368.0,IT,False,True
92,Bob,36.0,,India,42000.0,IT,False,True
93,Tina,25.0,tina@gmail.com,France,32000.0,HR,True,False
94,Uma,36.0,uma@gmail.com,Uk,64000.0,IT,True,False
95,Noah,31.0,,U.S.A,72953.0,IT,False,True
96,Sam,36.0,,Germany,41000.0,HR,False,True
97,Tina,36.0,,U.S.A,54000.0,IT,False,True
98,Alice,36.0,alice@gmail.com,India,27000.0,HR,True,False
99,Alice,27.0,alice@gmail.com,Canada,31000.0,HR,True,False
100,Hank,36.0,,Usa,43000.0,IT,False,True
